Title,Author,Info,Link,Author Link
Hanedan Yıkan Kavga,Kaan Kural,"2000'lerde NBA'e damga vurmaları bekleniyordu, bir gecede dağıldılar. Indiana Pacers ve 'o kavga' nasıl tarihi değiştirdi?",http://www.socratesdergi.com/2015/11/19/hanedan-yikan-kavga/,http://www.socratesdergi.com/author/kaankural/
NEREDEN NEREYE,Bülent Eken,"Fenerbahçe ile Galatasaray'ın mücadelesi her zaman olaylarla anılmıyordu. Derbinin bayram günlerini, Bülent Eken yazdı. ",http://www.socratesdergi.com/2015/10/24/nereden-nereye/,http://www.socratesdergi.com/author/bulenteken/
MOTORU ISITMAK,Ozan Can Sülüm,"Kış geç de olsa geldi. Artık asıl mesele, koşarken motoru ısıtabilmek. ",http://www.socratesdergi.com/2015/12/30/motoru-isitmak/,http://www.socratesdergi.com/author/ozancansulum/
Koşucu Olduğunuzu Nasıl Anlarsınız?,Servet Can Demirel,Madde madde bakıyoruz. ,http://www.socratesdergi.com/2015/12/29/kosucu-oldugunuzu-nasil-anlarsiniz/,http://www.socratesdergi.com/author/scandemirel/
İKİ BÜYÜĞE DANIŞALIM,Servet Can Demirel,"Antalya’da yapılan Ironman yarışını Türkiye'den en kısa sürede tamamlayan iki sporcu, Harun Arman ve Barlas Kazancı ile keyifli bir sohbet gerçekleştirdik. ",http://www.socratesdergi.com/2015/12/24/iki-buyuge-danisalim/,http://www.socratesdergi.com/author/scandemirel/
BELGRAD’DA BİR GARİP KOŞU,Ozan Can Sülüm,"Sırada İstanbul dışındaki ilk koşu deneyimini yaşamak var, rota Belgrad. ",http://www.socratesdergi.com/2015/12/24/belgradda-bir-garip-kosu/,http://www.socratesdergi.com/author/ozancansulum/
Deniz bitti,Emre Özcan,"Roma'da kriz devam ediyor. Çare, Rudi Garcia'nın görevine son vermek mi?",http://www.socratesdergi.com/2015/12/17/deniz-bitti/,http://www.socratesdergi.com/author/emreozcan/
EMEKLEMEDEN YÜRÜMEYİ ÖĞRETEN ADAM,Socrates,"Bursaspor hiçbir zaman timsah yürüyüşünün mucidini unutmayacak. Büşra Yazla, Majid Musisi'yi yazdı. ",http://www.socratesdergi.com/2015/12/13/emeklemeden-yurumeyi-ogreten-adam/,http://www.socratesdergi.com/author/socratesdergi/
Sade Kahraman,Caner Eler,Grete Waitz orta mesafe yarışlarıyla başladığı atletizm kariyerinde bir maraton efsanesi oldu. Hem de birçok sporcunun hayatına dokunup onlara yol açan bir efsane... ,http://www.socratesdergi.com/2015/12/10/sade-kahraman/,http://www.socratesdergi.com/author/canereler/
BU HAFTA NE İZLEYELİM?,Socrates,Şampiyonlar Ligi ve Avrupa Ligi gruplarında son haftaya girdik. Kış sporlarının da başlamasıyla program yoğun. Haftanın öne çıkanlarına bakıyoruz. ,http://www.socratesdergi.com/2015/12/09/bu-hafta-ne-izleyelim-4/,http://www.socratesdergi.com/author/socratesdergi/
"“İlişkiler değil, insanlar önemlidir”",Kutay Ersöz,Futbolculuktan yorumculuğa geçen yıldızlara artık daha sık rastlıyoruz. Les Ferdinand da onlardan biri. Aradaki farkları kendisine sorduk. ,http://www.socratesdergi.com/2015/12/08/iliskiler-degil-insanlar-onemlidir/,http://www.socratesdergi.com/author/kutayersoz/
KOŞMAYI NEDEN SEVİYORUM?,Ozan Can Sülüm,Koşmanın her zaman o kadar güzel olmadığını söylemiştik. Herhalde konuya bir de ters açıdan bakmanın sakıncası yoktur. ,http://www.socratesdergi.com/2015/12/08/kosmayi-neden-seviyorum/,http://www.socratesdergi.com/author/ozancansulum/
